school_name,average_FOEI_2016/2017,2018_preliminary_RAM_total_funding,variance_to_2017_needs-based_allocation,"total_three_year_variance_(2016, 2017, 2018)"
Wilson Park Schoo l,142,"152,878","20,708","75,922"
Wilsons Creek Public School,106,"72,445","7,675","24,766"
Wilton Public School,80,"243,985","43,142","127,452"
Windale Public Sc hool,187,"709,698","-53,540","25,832"
Windang Public School,117,"213,795","18,377","87,791"
Windellama Public School,105,"42,458","-7,498","1,904"
Windsor High School,137,"906,488","62,313","231,525"
Windsor Park Public Schoo l,128,"410,560","2,392","94,151"
Windsor Public School,121,"272,262","-24,357","25,725"
Windsor South Public School,164,"609,150","90,178","155,665"
Wingello Public School,104,"53,475","9,153","21,613"
Wingham Brush Public School,127,"379,222","41,474","90,455"
Wingham High School,128,"972,424","25,127","230,983"
Wingham Public School,130,"668,194","71,220","215,137"
Winmalee High School,62,"508,578","71,707","143,814"
Winmalee Public School,73,"289,205","34,876","98,286"
Winston Heights Public School,33,"266,399","46,881","59,891"
Winston Hills Public School,40,"452,560","59,405","142,323"
Wiripaang Public School,183,"796,590","-21,708","89,383"
Wirreanda Public School,102,"526,542","59,883","260,469"
Wisemans Ferry Public School,118,"75,537","9,695","27,612"
Wollar Public School,147,29.162,"-9,313","-9,784"
Wollondilly Public School,95,"421,301","68,050","165,209"
Wollongbar Public School,76,"236,303","17,816","78,305"
Wollongong High Sc hool of the Performing Arts,66,"754,728","-55,432","176,931"
Wollongong Public School,53,"428,420","71,962","80,860"
Wollongong West Public School,104,"368,970","-10,379","94,173"
Wollumbin High School,112,"551,693","-42,765","104,713"
Wolumla Public School,102,"94,162","-7,853",-609
Wombat Public School,122,"47,055","-4,164","-8,604"
Wongarbon Public School,131,"111,014","-15,331","11,431"
Woniora Road School,104,"41,583","4,814","23,524"
Woodberry learning Centre,167,"57,138","-2,521","8,939"
Woodberry Public School,184,"786,107","182,824","214,313"
Woodburn Public School,126,"225,546","22,957","98,308"
Woodenbong Central School,135,"579,669","1,234","123,676"
Woodland Road Public School,132,"540,138","74,534","176,225"
Woodport Public School,82,"303,623","43,508","122,106"
Woodstock Public School,168,"84,039","-1,536","29,334"
Wooglemai Environmental Education Centre,-,"16,371","2,953","9,749"
Woolbrook Public School,162,"66,056","1,077","20,515"
Woolgoolga High School,110,"1,081,039","43,960","292,697"
Woolgoolga Public School,100,"488,040","17,086","150,514"
Wooli Public School,112,"100,458","32,750","53,254"
Woollahra Public School,3 or less,"446,547","45,659","141,180"
Woolomin Public School,135,"92,344","-1,952","20,369"
Woolooware High School,62,"494,744","45,981","134,752"
Woolooware Public School,48,"266,175","42,360","93,119"
Woongarrah Public School,96,"453,125","77,212","220,047"
Woonona East Public Sc hool,70,"195,982","26,481","68,663"
Woonona High School,97,"545,581","53,613","233,000"
Woonona Public School,60,"284,374","1,831","84,904"
Woronora River Public School,47,"88,818","26,516","41,673"
Woy Woy Public School,107,"535,657","30,009","227,292"
Woy Woy South Public Schoo l,118,"651,592","-20,238","167,493"
Wyalong Public School,153,"189,146","4,736","68,304"
Wyangala Dam Public School,122,"31,051","-3,166","7,660"
Wyee Public School,133,"393,139",983,"125,449"
Wyndham College,108,"754,285","82,229","293,456"
Wyndham Public School,144,"76,412","11,786","23,502"
Wyoming Public School,130,"597,209","76,349","241,204"
Wyong Creek Public School,78,"64,402","14,482","27,365"
Wyong High School,124,"1,115,557","127,785","412,888"
Wyong Public School,133,"965,684","147,852","300,069"
Wyrallah Public School,100,"54,065","7,550","15,014"
Wyrallah Road Public School,95,"483,692","-52,477","101,741"
Wytaliba Public School,190,"53,370","-1,467","4,964"
Yagoona Public School,119,"1,079,490","27,198","224,588"
Yamba Public School,98,"404,576","9,409","195,611"
Yanco Agricultural High School,71,"279,001","7,739","38,429"
Yanco Public School,127,"89,903","-17,648","-21,229"
Yanderra Public School,133,"72,713","-9,006","-10,139"
Yarrawarrah Public School,48,"177,248","13,671","56,185"
Yarrowitch Public School,107,"43,324","2,729","4,761"
Vass High School,97,"519,851","32,484","156,900"
Vass Public School,75,"228,687","26,521","65,449"
Yates Avenue Public School,90,"211,126","-26,759","21,456"
Venda Public School,97,"149,102","-10,286","40,928"
Yennora Public School,170,"656,854","17,796","-39,704"
Yeo Park Infants School,3 or less,"37,897",302,"7,057"
YeovalCentral School,128,"270,480","2,986","88,357"
Yerong Creek Public School,141,"61,899","3,195","26,784"
Yetman Public Sc hool,82,"52,040","3,423","7,904"
Yoogali Public School,159,"121,764","12,240","20,102"
York Public School,106,"632,503","8,287","261,036"
Young High School,129,"1,085,491","116,104","386,479"
Young North Public School,140,"515,093","-180,155","37,939"
Young Public School,103,"650,146","56,016","296,152"
Yowie Bay Public School,38,"272,500","36,012","94,251"
Zig Zag Public School,138,"195,013","26,626","78,626"
,,"1,091.7 M",84.2M,303.4M
